0, 8888888888888888888
0,0
0,239
0,0
0,177
0,90
140,0
0,104
1141,0
0,0
0,253
76,0
1195,0
494,0
0,84
204,0
648,201
0,306
947,0
0,0
0,0
0, 8888888888888888888
0,0
237,0
115,0
198,0
559,0
1001,186
0,374
86,0
0,0
0,0
107,0
325,0
82,52
347,0
946,0
0,0
161,0
432,108
445,0
1, 8888888888888888888
395,0
891,0
432,977
0,0
697,0
0,0
519,2838
0,216
198,0
455,0
542,121
280,0
293,0
281,0
0,0
229,329
525,284
2, 8888888888888888888
0,4076
151,3601
547,814
0,1708
0,2020
557,539
0,608
1495,0
0,0
0,0
52,4608
587,1195
0,3639
417,733
312,398
667,3735
395,3682
329,1129
105,0
533,3032
3, 8888888888888888888
0,2680
123,3803
88,110
0,1867
496,251
267,2957
0,3088
35,0
0,629
549,919
208,2503
474,3290
0,3585
0,5519
0,642
75,0
372,3062
4, 8888888888888888888
1046,1505
189,2842
341,1862
0,1219
90,2210
0,2080
251,3500
393,2946
0,5539
32,4114
72,2655
0,555
0,1134
1429,1943
0,411
0,2023
374,313
115,3600
5, 8888888888888888888
0,142
113,1986
81,2956
39,2784
347,2083
791,1183
0,1380
0,642
346,0
0,1043
328,359
434,426
0,4455
484,408
571,2710
219,1040
594,2527
41,2531
0,2653
6, 8888888888888888888
0,2967
273,3390
273,2908
125,3088
0,3017
0,3350
24,1224
343,2196
305,3302
143,2405
828,1681
644,3017
110,428
0,2881
743,2044
0,2649
589,2148
137,680
340,675
7, 8888888888888888888
557,2508
54,262
0,3393
270,2352
940,5040
0,2054
897,571
539,2307
0,344
0,104
0,2049
61,4195
0,371
0,3252
1950,619
176,1928
0,1436
45,1914
0,3049
8, 8888888888888888888
0,465
259,685
868,1971
0,2961
0,3545
423,2024
0,986
554,623
65,255
458,2937
98,1155
654,2482
0,1841
376,1920
757,1897
0,581
32,3069
9, 8888888888888888888
0,2050
0,268
0,524
0,1701
526,3481
0,4435
361,4491
118,3324
118,202
0,469
80,3872
0,4707
93,776
200,105
444,518
0,229
543,3483
10, 8888888888888888888
0,432
466,962
696,1993
62,1336
473,547
384,4397
458,1410
0,915
116,1888
462,2894
0,49
0,5231
0,1189
301,642
456,3562
0,1462
0,2028
0,301
11, 8888888888888888888
28,2956
72,4541
221,2231
0,3770
83,4142
545,746
0,91
0,189
0,805
160,996
144,40
0,1231
363,3495
0,1717
0,1251
0,0
275,1389
82,537
12, 8888888888888888888
0,44
90,1064
407,1676
0,590
335,2584
115,5173
592,2819
270,1358
37,3331
130,365
0,1889
66,1488
0,1364
202,364
122,3450
848,964
336,1525
0,792
292,436
13, 8888888888888888888
0,3654
302,1226
0,2359
0,0
698,2792
113,904
660,1453
1426,3287
536,625
251,1923
0,2770
481,765
209,397
0,2442
0,1228
644,1017
0,1806
331,1741
651,4703
14, 8888888888888888888
601,1166
244,1060
513,2756
0,4106
429,4081
192,936
530,810
214,2605
386,3508
83,1929
106,1411
0,1649
0,1269
929,628
0,4711
141,4058
511,134
15, 8888888888888888888
0,5271
0,989
0,5143
138,1876
0,280
0,568
897,1686
622,4498
295,5543
224,1473
267,3968
0,1470
0,1938
156,534
0,1541
201,2148
439,667
1599,2791
0,426
0,2807
16, 8888888888888888888
354,1077
0,562
60,2731
0,4761
129,37
276,3239
613,2448
281,312
0,411
0,2770
0,976
53,302
0,1373
0,4351
253,92
64,732
347,2341
0,3206
164,4220
17, 8888888888888888888
30,2340
0,282
269,4138
0,5297
0,4901
0,1103
81,3710
0,5206
0,1212
0,1991
0,5336
0,2983
93,121
419,834
0,129
0,1315
578,611
184,1375
0,387
36,1789
18, 8888888888888888888
284,518
0,4981
0,980
288,3360
147,260
234,1787
108,1098
0,4334
1415,915
744,4878
206,887
104,4223
1049,1064
203,1648
301,876
233,3638
19, 8888888888888888888
0,4398
0,766
0,1064
0,5391
137,4583
0,499
0,3598
848,4561
426,2846
62,4082
1649,1920
648,3585
1171,192
665,3913
0,436
139,3540
67,141
0,676
172,4421
20, 8888888888888888888
0,1158
658,1097
0,1667
0,360
0,2240
0,3213
427,473
1353,1096
533,3740
724,4702
792,279
541,3758
0,753
0,3115
0,4954
0,3399
561,429
0,2635
0,2430
21, 8888888888888888888
0,333
0,1848
37,3915
482,638
0,360
1258,2409
0,608
356,2925
723,0
0,268
454,4844
0,5383
0,655
0,1426
0,2694
350,1114
0,2152
0,2302
22, 8888888888888888888
0,604
0,2249
0,3707
0,1550
0,347
0,1459
0,437
550,1102
214,3743
144,132
0,1515
0,5477
301,2781
208,673
149,938
56,1256
211,2055
23, 8888888888888888888
597,80
359,147
2026,2726
5430,1125
2188,3311
1435,5080
156,3508
1585,4533
0,4988
0,665
1056,304
363,686
216,385
0,1132
0,867
0,4337
788,3746
0,358
0,4488
0,1285
24, 8888888888888888888
320,1278
52,3065
0,3126
658,2896
403,2948
255,3234
181,320
54,3231
0,1430
759,1668
621,1213
0,1041
0,250
0,972
546,748
0,2896
314,504
334,2605
25, 8888888888888888888
180,1016
0,1581
