{'g1': 0, 'g2': 0, 'g3': 6, 'g4': 94, 'g5': 447, 'g6': 732}
{'g1': 0, 'g2': 2, 'g3': 0, 'g4': 426, 'g5': 856, 'g6': 465}
{'g1': 146, 'g2': 616, 'g3': 0, 'g4': 575, 'g5': 996, 'g6': 886}
{'g1': 0, 'g2': 676, 'g3': 0, 'g4': 784, 'g5': 999, 'g6': 999}
{'g1': 0, 'g2': 214, 'g3': 0, 'g4': 772, 'g5': 742, 'g6': 890}
{'g1': 0, 'g2': 957, 'g3': 0, 'g4': 997, 'g5': 997, 'g6': 997}
{'g1': 0, 'g2': 891, 'g3': 0, 'g4': 999, 'g5': 999, 'g6': 997}
{'g1': 0, 'g2': 0, 'g3': 486, 'g4': 866, 'g5': 882, 'g6': 998}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 569, 'g5': 304, 'g6': 1000}
{'g1': 11, 'g2': 134, 'g3': 0, 'g4': 759, 'g5': 909, 'g6': 993}
{'g1': 0, 'g2': 994, 'g3': 20, 'g4': 179, 'g5': 994, 'g6': 994}
{'g1': 0, 'g2': 707, 'g3': 558, 'g4': 727, 'g5': 707, 'g6': 709}
{'g1': 20, 'g2': 0, 'g3': 0, 'g4': 130, 'g5': 0, 'g6': 508}
{'g1': 247, 'g2': 0, 'g3': 0, 'g4': 70, 'g5': 895, 'g6': 999}
{'g1': 77, 'g2': 85, 'g3': 0, 'g4': 786, 'g5': 925, 'g6': 926}
{'g1': 3, 'g2': 306, 'g3': 0, 'g4': 338, 'g5': 112, 'g6': 931}
{'g1': 0, 'g2': 999, 'g3': 0, 'g4': 999, 'g5': 820, 'g6': 999}
{'g1': 0, 'g2': 993, 'g3': 464, 'g4': 996, 'g5': 993, 'g6': 993}
{'g1': 48, 'g2': 287, 'g3': 229, 'g4': 418, 'g5': 265, 'g6': 955}
{'g1': 17, 'g2': 994, 'g3': 0, 'g4': 983, 'g5': 952, 'g6': 994}
{'g1': 0, 'g2': 999, 'g3': 122, 'g4': 690, 'g5': 528, 'g6': 999}
{'g1': 0, 'g2': 166, 'g3': 166, 'g4': 881, 'g5': 402, 'g6': 932}
{'g1': 0, 'g2': 561, 'g3': 0, 'g4': 997, 'g5': 997, 'g6': 997}
{'g1': 0, 'g2': 996, 'g3': 0, 'g4': 998, 'g5': 998, 'g6': 996}
{'g1': 0, 'g2': 823, 'g3': 400, 'g4': 834, 'g5': 822, 'g6': 823}
{'g1': 127, 'g2': 676, 'g3': 0, 'g4': 913, 'g5': 613, 'g6': 964}
{'g1': 268, 'g2': 0, 'g3': 0, 'g4': 994, 'g5': 998, 'g6': 998}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 998, 'g5': 998, 'g6': 998}
{'g1': 12, 'g2': 0, 'g3': 251, 'g4': 288, 'g5': 436, 'g6': 797}
{'g1': 120, 'g2': 292, 'g3': 0, 'g4': 894, 'g5': 832, 'g6': 901}
{'g1': 0, 'g2': 997, 'g3': 0, 'g4': 967, 'g5': 999, 'g6': 997}
{'g1': 36, 'g2': 897, 'g3': 61, 'g4': 897, 'g5': 900, 'g6': 897}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 430, 'g5': 0, 'g6': 410}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 409, 'g5': 11, 'g6': 997}
{'g1': 0, 'g2': 803, 'g3': 0, 'g4': 685, 'g5': 804, 'g6': 999}
{'g1': 1, 'g2': 664, 'g3': 302, 'g4': 424, 'g5': 652, 'g6': 815}
{'g1': 0, 'g2': 676, 'g3': 0, 'g4': 498, 'g5': 682, 'g6': 999}
{'g1': 0, 'g2': 815, 'g3': 0, 'g4': 999, 'g5': 998, 'g6': 999}
{'g1': 53, 'g2': 816, 'g3': 251, 'g4': 940, 'g5': 816, 'g6': 816}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 994, 'g5': 466, 'g6': 492}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 995, 'g5': 995, 'g6': 960}
{'g1': 0, 'g2': 0, 'g3': 0, 'g4': 713, 'g5': 802, 'g6': 717}
{'g1': 97, 'g2': 0, 'g3': 0, 'g4': 999, 'g5': 372, 'g6': 177}
{'g1': 0, 'g2': 36, 'g3': 0, 'g4': 995, 'g5': 50, 'g6': 901}
{'g1': 370, 'g2': 676, 'g3': 0, 'g4': 994, 'g5': 999, 'g6': 994}
